Deal Date,Investors,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2010,Chengwei Capital, Morningside Group,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2011,Bain Capital, Chengwei Capital, Morningside Group,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2012,Benchmark Capital, Index Ventures, Spark Capital,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2013,LoveHomeSwap.com, MMC Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2008,Brookside Group, Chengwei Capital, Fallaron Capital, Sutter Hill Ventures,,,,,,,,,,,,,,,,,,,,,,,
5/30/2008,Alliance Entreprendre, Galia Gestion,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2005,123Venture, Entrepreneurs Fund, Triangle Venture Capital Group,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2007,Entrepreneurs Fund, IBG Innovationsfonds, IPSA, NBGI Private Equity,,,,,,,,,,,,,,,,,,,,,,,
12/11/2008,Buckhead Investment Partners, Imlay Investments, Noro-Moseley Partners,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2010,Buckhead Investment Partners, Hamilton Investment Partners, Imlay Investments, Noro-Moseley Partners,,,,,,,,,,,,,,,,,,,,,,,
7/22/2013,Buckhead Investment Partners, Hamilton Ventures, Herff Jones, Inc., Imlay Investments,,,,,,,,,,,,,,,,,,,,,,
9/2/2011,Buckhead Investment Partners, Hamilton Ventures, Imlay Investments,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2013,Baroda Ventures, Plus Capital, Siemer Ventures,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2010,Legend Capital Management, Zero2IPO Capital,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2012,HV Holtzbrinck Ventures Adviser GmbH, Rocket Internet,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2012,Edipresse Group, MCI Management, Ventech,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2011,BIP Investment Partners, Innovacom,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2008,ADS Global Partners, GGV Capital, iD TechVentures, TOA Capital, Trinity Ventures,,,,,,,,,,,,,,,,,,,,,,
1/1/2011,CBC Capital, GGV Capital, iD TechVentures, Matrix Partners, Meritech Capital Partners, Smartpay, SMC Capital China, Trinity Ventures, WI Harper,,,,,,,,,,,,,,,,,,
6/1/2000,EMP Global, IDG Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2007,AD Capital, ADS Global Partners,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2006,CBC Capital, TOA Capital,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2007,ADS Global Partners, iD TechVentures, TOA Capital,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2008,Matrix Partners, Meritech Capital Partners, WI Harper,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2008,Matrix Partners, Meritech Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2013,Delphi Ventures, Domain Associates, HLM Venture Partners, Kearny Venture Partners, Second Technology Capital, Tandem Diabetes Care Inc., TPG Biotech,,,,,,,,,,,,,,,,,,,,
11/8/2010,Google Ventures, Johnson & Johnson Development Corporation, New Enterprise Associates,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2007,Genentech, Inc., Google Ventures, Mohr Davidow Ventures, New Enterprise Associates,,,,,,,,,,,,,,,,,,,,,,
1/7/2011,Google Ventures, Johnson & Johnson Development Corporation, MPM Capital, New Enterprise Associates, Roche Venture Fund,,,,,,,,,,,,,,,,,,,,,,
12/11/2012,Google Ventures, MPM Capital, New Enterprise Associates,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2012,Blue Ocean Ventures, Indian Angel Network,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2007,Hummingbird Ventures, Solid Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2009,Idinvest Partners, Seventure,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2010,Charles River Ventures, North Bridge Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2011,CDH Investments, Vickers Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2011,Betaworks, Founder Collective, Obvious Corporation, SV Angel, True Ventures,,,,,,,,,,,,,,,,,,,,,,
1/29/2014,GMO Payment Gateway, Inc.,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2012,Almaz Capital Partners, Inventure Partners,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2014,Almaz Capital Partners, Inventure Partners,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2006,Mustang Ventures, Qiming Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2013,Columbia Capital, Madrona Venture Group,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2009,City Light Capital, Novak Biddle Venture Partners, Redpoint Ventures,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2010,City Light Capital, Highland Capital Partners, Novak Biddle Venture Partners, Redpoint Ventures,,,,,,,,,,,,,,,,,,,,,,,
3/15/2011,Bessemer Venture Partners, City Light Capital, Highland Capital Partners, Novak Biddle Venture Partners, Redpoint Ventures,,,,,,,,,,,,,,,,,,,,,,
4/2/2012,Bessemer Venture Partners, City Light Capital, Highland Capital Partners, Hillman Medical Ventures, Novak Biddle Venture Partners, Redpoint Ventures, SVB Capital, WestRiver Capital,,,,,,,,,,,,,,,,,,,
10/1/2013,Bessemer Venture Partners, Highland Capital Partners, Redpoint Ventures,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2000,Accel Partners, DCM, Invesco Private Capital, Meritech Capital Partners, Oak Investment Partners, Venrock,,,,,,,,,,,,,,,,,,,,,
6/1/2011,DCM, First Round Capital, Lightspeed Venture Partners, Partech International Partners, RockYou, Sequoia Capital, SK Telecom Ventures, Softbank Capital, SV Angel,,,,,,,,,,,,,,,,,,
3/13/1997,Abingworth Management, HealthCare Ventures, Michigan Department of Treasury, Philadelphia Ventures, RHO Ventures, Senmed Medical Ventures,,,,,,,,,,,,,,,,,,,,,
7/10/2009,Kleiner Perkins Caufield & Byers, New Enterprise Associates, The Column Group,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2007,Kleiner Perkins Caufield & Byers, The Column Group,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2012,Kleiner Perkins Caufield & Byers, New Enterprise Associates,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2013,Kleiner Perkins Caufield & Byers, New Enterprise Associates,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2009,First Round Capital, Rose Tech Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2011,First Round Capital, Flybridge Capital Partners, QED Investors,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2012,First Round Capital, Flybridge Capital Partners, Great Oaks Venture Capital, Greycroft Partners, iNovia Capital, Metamorphic Ventures, Panorama Capital, Pelion Venture Partners, QED Investors,,,,,,,,,,,,,,,,,,
1/15/2013,Klass Capital, OMERS Ventures, Round13 Capital,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2013,3T Capital, ISAI,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2012,Investment Accelerator Fund, MaRS Innovation, Ontario Centres of Excellence,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2014,Beyond Fund Equity Investment, INnovation Angels, Wuyue Capital,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2010,Canaan Partners, Storm Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2009,Greenwich Equity Group, Storm Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2014,Accelerator Technology Holdings, Alchemist Accelerator, Ecosystem Ventures, Mixed Dimensions, Inc.,,,,,,,,,,,,,,,,,,,,,,
11/6/2012,OÕReilly AlphaTech Ventures, SK Ventures, True Ventures,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2013,Foundry Group, Mayfield Fund, OÕReilly AlphaTech Ventures, SK Ventures, True Ventures,,,,,,,,,,,,,,,,,,,,,,
8/1/2003,Symbion Capital, Vaekstfonden,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2012,Andreessen Horowitz, SV Angel,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2013,Andreessen Horowitz, Omidyar Network,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2013,500 Startups, Lagoa, Real Ventures, RHO Ventures,,,,,,,,,,,,,,,,,,,,,,,
12/12/2006,Elron Electronic Industries, Kleiner Perkins Caufield & Byers, Pitango Venture Capital, Rafael Development Corporation,,,,,,,,,,,,,,,,,,,,,,,
10/30/2003,3i, Boston Scientific, Cardiac Concepts, Domain Associates,,,,,,,,,,,,,,,,,,,,,,,
12/20/2013,SouthWinston, Tribal Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2014,CrunchFund, Intel Capital, K9 Ventures,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2005,Ceyuan Ventures, Walden International,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2007,NetService Ventures, New Enterprise Associates, Norwest Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2000,Alloy Ventures, Enterprise Partners Venture Capital, Storm Ventures,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2007,Alloy Ventures, Enterprise Partners Venture Capital, Intel Capital, Storm Ventures,,,,,,,,,,,,,,,,,,,,,,,
9/22/2008,Alloy Ventures, Enterprise Partners Venture Capital, Intel Capital, LSI Corporation, Storm Ventures,,,,,,,,,,,,,,,,,,,,,,
9/1/2006,Platinum Neurone Ventures, Shenzhen Capital Group,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2011,Caja Navarra, Sodena, SuanFarma Biotech,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2000,Mayfield Fund, Oracle Venture Fund, Worldview Technology Partners,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2001,Amerindo Investment Advisors, Mayfield Fund, Oracle Corporation, Sun Microsystems, Veritas Software, Worldview Technology Partners,,,,,,,,,,,,,,,,,,,,,
2/10/2004,Mayfield Fund, Menlo Ventures, Worldview Technology Partners,,,,,,,,,,,,,,,,,,,,,,,,
