total_box,budget,release_coverage,pindex
6422,0,0.000206217456307676,2962737
3526847,0,0.0309326184461515,2963068
8780,0,0,2963072
1094668,0,0.00558339780027581,2963130
57377916,1e+08,0.0499804763764155,2963286
109383,1e+07,0.00240384615384615,2963299
4664,0,4.97834420271818e-05,2963694
15510,0,0,2963761
2760,20000,2.57771820384596e-05,2963935
42472,0,0.000699580251848891,2963940
26235081,5e+07,0.0707520735261152,2964010
3930,0,0,2964028
15035,0,0.000204870053851557,2964031
1770082,0,0.0040137864840103,2964099
35154,0,0.000713889109225034,2964102
43671,0,0.000218140569783168,2964123
64698,0,0.000128753154452284,2964144
2405420,2.5e+07,0.0261356399915092,2964234
11806119,0,0.00536123481343768,2964267
684351,0,0,2964269
3365,0,2.81642539289134e-05,2964695
52990775,5.3e+07,0.0633414070861263,2964719
637769,0,0.00442178786683941,2964747
30156002,0,0.0697665704972086,2964997
93995,0,0.000899460323805717,2965254
465310,0,0.000784577449002466,2965255
23070663,0,0.0741878676608341,2965272
6947787,0,0.0496320362158158,2965278
604856,0,0,2965298
40390647,2.5e+07,0.0844821788836584,2965310
1268636,0,0.000574650720109184,2965494
33405481,0,0.032055766540076,2965505
21626,0,7.46751630407726e-05,2965510
595018,0,0.00342897483737583,2965562
76544,0,0.000384837406195882,2965628
258384,0,0.0015240855486708,2965794
3359465,0,0.00768106710629848,2965836
8217997,0,0.0548836818678089,2965861
68518533,6.5e+07,0.0736581293259002,2965866
9706328,1e+06,0.0113866396761134,2965917
8551228,6e+06,0.00888649791292701,2965969
33490,0,7.59109311740891e-05,2966051
14051384,0,0.0736361507843596,2966215
8600126,2e+07,0.0505211835911231,2966823
4479470,0,0.0121361148568256,2967109
11242801,0,0.0434726018482364,2967297
2694071,2e+07,0.0365582544256896,2967439
764724,0,0.000234137204401779,2967782
2634,0,2.49962505624156e-05,2967843
2415312,0,0.00382128159905938,2967904
13273595,3e+07,0.079996878170608,2968033
39394666,7e+07,0.0698872122366998,2968040
71716,0,0.000128885910192298,2968048
9188150,0,0.0533706725110597,2968058
752122,0,0.0083218873717379,2968089
428868,0,0.00132677749161008,2968097
4357406,0,0.0406646261477919,2968393
16970581,7e+06,0.0366969955193931,2968512
10058318,0,0.0556075860454226,2968522
114053579,1.5e+08,0.0940928052737292,2969240
15520,0,5.6041246357319e-05,2969344
7316658,1.6e+07,0.0238551230777897,2970175
296131,0,0.000196353436185133,2970294
488393,0,0.00262918130938436,2970453
73206343,2e+07,0.0572260666102454,2970676
46752382,2e+07,0.0809806835066865,2970840
60332,0,0.000257506308904568,2970867
